water_management_name,quotas_subject
"""Тобол от г. Курган до впадения р.Исеть""","""Тюменская область"""
"""Тобол от г. Курган до впадения р.Исеть""","""Курганская область"""
"""Енисей от впадения р. Нижняя Тунгуска до в/п г. Игарка без р.Курейка от истока до Курейского г/у""","""Красноярский край"""
"""Иртыш от впадения р.Ишим до впадения р.Тобол""","""Тюменская область"""
"""Иртыш от впадения р.Ишим до впадения р.Тобол""","""Курганская область"""
"""Ишим от границы РФ с Респ. Казахстан до устья без оз. Большой Уват до г/у Большой Уват""","""Тюменская область"""
"""Реки бассейна моря Лаптевых (включая р. Анабар) от восточной границы бассейна р. Тикян-Юрях на западе до границы бассейна р. Оленек на востоке""","""Республика Саха (Якутия)"""
"""Иртыш от впадения р. Омь до впадения р. Ишим без р. Оша""","""Новосибирская область"""
"""Иртыш от границы с Респ. Казахстан до впадения р. Омь""","""Омская область"""
"""Водные объекты между бассейнами оз. Чаны и р. Омь""","""Новосибирская область"""
"""Кама от истока до в/п с. Бондюг""","""Удмуртская Республика"""
"""Обь от впадения р. Вах до г. Нефтеюганск""","""Ханты-Мансийский автономный округ - Югра"""
"""Обь от впадения р. Кеть до впадения р. Васюган""","""Томская область"""
"""Чулым от в/п с.Зырянское до устья""","""Кемеровская область"""
"""Чулым от истока до г. Ачинск""","""Кемеровская область"""
"""Томь от истока до г. Новокузнецк без р. Кондома""","""Кемеровская область"""
"""Обь от Новосибирского г/у до впадения р. Чулым без: рр. Иня и Томь""","""Новосибирская область"""
"""Обь от г. Барнаул до Новосибирского г/у без р. Чумыш""","""Новосибирская область"""
"""Медведица от истока до впадения р.Терса""","""Волгоградская область"""
"""Обь от г. Барнаул до Новосибирского г/у без р. Чумыш""","""Алтайский край"""
"""Яна от впадения р.Адыча до устья без р.Бытантай""","""Республика Саха (Якутия)"""
"""Индигирка от впадения Неры до впадения Момы""","""Магаданская область"""
"""Сакмара от истока до впадения р. Большой Ик""","""Оренбургская область"""
"""Урал от Ириклинского г/у до г. Орск""","""Оренбургская область"""
"""Урал от Магнитогорского г/у до Ириклинского г/у""","""Челябинская область"""
